"","A2","Time"," --- ","A1","Time"
"1","10_miss_10.dat","10.8121262510618",NA,"10_miss_10.dat","6.21604198217392"
"2","10_miss_15.dat","16.4496752381325",NA,"10_miss_15.dat","4.34828824599584"
"3","10_True_20_1_miss.dat","4.22101724545161",NA,"10_True_20_1_miss.dat","2.99498329957326"
"4","20_mis_10_1_mis.dat","26.1845426638921",NA,"20_mis_10_1_mis.dat","6.05460369984309"
"5","20_True_5_1_miss.dat","2.95922080278397",NA,"20_True_5_1_miss.dat","2.81910347938538"
"6","5_True_2_1_miss.dat","23.9220177112023",NA,"5_True_2_1_miss.dat","15.6428088625272"
